Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2018-07-25,1275.939941,61.7480011,217.5,1863.609985,46.95264053,106.301857,19.82099533,263.1700134,62.47550964,148.8699951
2018-07-26,1285.5,61.33000183,176.2599945,1808,46.80562592,105.141304,19.79569054,261.9299927,63.21220779,147.5700073
2018-07-27,1252.890015,59.43600082,174.8899994,1817.27002,46.02717972,103.2805481,20.0824585,254.8099976,62.5127182,143.9100037
2018-07-30,1230.040039,58.0340004,171.0599976,1779.219971,45.76931381,101.0649414,20.99338341,242.3200073,60.55562592,138.0299988
2018-07-31,1227.219971,59.62799835,172.5800018,1777.439941,45.86088562,101.7459259,20.70660973,244.6799927,60.73670578,137.1499939
2018-08-01,1232.98999,60.16799927,171.6499939,1797.170044,48.56255722,101.9377441,20.60540009,248.0099945,61.13606262,137.6799927
2018-08-02,1241.130005,69.90799713,176.3699951,1834.329956,49.98209,103.1750336,20.24271584,252.2200012,62.16545486,141.1399994
2018-08-03,1238.160034,69.63400269,177.7799988,1823.290039,50.12668991,103.6258392,20.53792381,253.2799988,62.53256226,141.0399933
2018-08-06,1237.670044,68.39800262,185.6900024,1847.75,50.38696289,103.7121735,20.52948952,254.1100006,63.01129913,142.7100067
2018-08-07,1255.839966,75.91400146,183.8099976,1862.47998,49.91459656,104.4315338,20.5800972,253.3899994,63.73559952,144.4400024
2018-08-08,1261.329956,74.06800079,185.1799927,1886.52002,49.94834137,105.0166168,20.5547924,253.8300018,64.10021973,145.1699982
2018-08-09,1264.459961,70.48999786,183.0899963,1898.52002,50.34117889,105.1892471,20.43670845,253.8000031,63.61404419,145.8200073
2018-08-10,1252.51001,71.09799957,180.2599945,1886.300049,50.19123459,104.5466385,19.98968315,253.6999969,63.1998024,145.5099945
2018-08-13,1248.640015,71.28199768,180.0500031,1896.199951,50.51531219,103.7889023,19.79569054,253.5399933,63.52971268,144.4499969
2018-08-14,1258.140015,69.52799988,181.1100006,1919.650024,50.72814178,105.0837402,19.54265404,256.0499878,64.8468399,146.5700073
2018-08-15,1232.219971,67.73799896,179.5299988,1882.619995,50.84664536,103.6587524,19.17153931,250.5200043,64.26392365,145.0399933
2018-08-16,1224.060059,67.08999634,174.6999969,1886.52002,51.59154892,103.6395035,19.27275276,248.8899994,63.85713577,145.7299957
2018-08-17,1215.849976,61.09999847,173.8000031,1882.219971,52.6218338,103.5817337,19.2137146,245.6999969,60.72678757,145.0200043
2018-08-20,1221.949951,61.68799973,172.5,1876.709961,52.10911179,102.8981094,19.35709763,249.7599945,61.47589111,145.7100067
2018-08-21,1217.410034,64.37999725,172.6199951,1883.420044,52.00752258,102.0411987,19.54265404,251.5,62.835186,145.5299988
2018-08-22,1221.75,64.32800293,173.6399994,1904.900024,52.00995255,103.0810471,19.51735115,255.5399933,65.19161224,146.4600067
2018-08-23,1221.160034,64.01999664,172.8999939,1902.900024,52.11636353,103.5624771,19.26431847,257,66.18876648,147.8300018
2018-08-24,1236.75,64.56400299,174.6499939,1905.390015,52.27840424,104.371254,19.25588608,261.5100098,67.52325439,152.3000031
2018-08-27,1256.27002,63.85400009,177.4600067,1927.680054,52.70889282,105.5266342,19.48361588,262.3999939,68.4360733,151.6799927
2018-08-28,1245.859985,62.37200165,176.2599945,1932.819946,53.13455963,106.1621246,19.29805565,263.0400085,68.05904388,152.9900055
2018-08-29,1264.650024,61.0019989,175.8999939,1998.099976,53.92781448,107.8566971,19.38240051,268.3599854,69.11629486,154.8000031
2018-08-30,1254.439941,60.63000107,177.6399994,2002.380005,54.42361832,107.7893066,18.45461082,266.4299927,68.94754028,152.1399994
2018-08-31,1231.800049,60.33200073,175.7299957,2012.709961,55.05242538,108.1551895,18.22688103,263.5100098,69.65982819,152.6799927
2018-09-04,1211.310059,57.79000092,171.1600037,2039.51001,55.2289772,107.5582199,17.92323875,266.6799927,70.4093399,153.2100067
2018-09-05,1199.099976,56.14799881,167.1799927,1994.819946,54.86861801,104.4578934,17.96541023,256.1400146,69.09892273,148.6499939
2018-09-06,1183.98999,56.18999863,162.5299988,1958.310059,53.95684052,104.6986084,18.12566566,259.75,67.68431091,148.8300018
2018-09-07,1177.589966,52.64799881,163.0399933,1952.069946,53.52152252,104.1883163,18.09193039,260.8699951,67.47084808,150.4299927
2018-09-10,1175.060059,57.09999847,164.1799927,1939.01001,52.80321884,105.3148193,18.26061821,265.3699951,68.18313599,151.3200073
2018-09-11,1189.98999,55.88800049,165.9400024,1987.150024,54.13823318,107.1057129,18.38713455,267,67.70414734,152.8399963
2018-09-12,1171.599976,58.10800171,162,1990,53.46589279,107.5582199,18.50521851,267.7900085,66.56250763,155.3699951
2018-09-13,1182.140015,57.89199829,161.3600006,1989.869995,54.75736618,108.7136459,18.78355598,268.519989,67.34178162,158.1799927
2018-09-14,1177.97998,59.04000092,162.3200073,1970.189941,54.13580704,109.1565399,18.74981689,274.6900024,68.60502625,157.4900055
2018-09-17,1159.829956,58.9679985,160.5800018,1908.030029,52.6943779,107.9722519,18.85946655,268.25,67.98458862,154.9199982
2018-09-18,1167.109985,56.99200058,160.3000031,1941.050049,52.78145218,109.0024872,19.01971817,270.7900085,67.26238251,156
2018-09-19,1174.27002,59.80400085,163.0599976,1926.420044,52.8128891,107.5486221,19.0112896,264.8800049,67.50063324,152.8999939
2018-09-20,1191.569946,59.66600037,166.0200043,1944.300049,53.21436691,109.3490906,19.07876205,266.3399963,66.08599854,155.5
2018-09-21,1172.119995,59.81999969,162.9299927,1915.01001,52.64118195,110.013443,19.23901749,260.8800049,65.3836441,155.5200043
2018-09-24,1179.560059,59.93600082,165.4100037,1934.359985,53.39817429,110.4082336,19.10406303,264.0899963,65.94205475,158.7799988
2018-09-25,1193.890015,60.19800186,164.9100037,1974.550049,53.736763,110.1963959,19.0112896,267.8399963,66.61461639,158.8699951
2018-09-26,1194.060059,61.91600037,166.9499969,1974.849976,53.3086853,109.7438736,18.7245121,268.4700012,66.2448349,158.3300018
2018-09-27,1207.359985,61.50400162,168.8399963,2012.97998,54.40426636,110.1578979,18.76668358,269.9100037,66.36396027,160.4299927
2018-09-28,1207.079956,52.95399857,164.4600067,2003,54.59533691,110.1193695,18.3027916,269.9500122,69.74420929,159.0299988
2018-10-01,1208.530029,62.13999939,162.4400024,2004.359985,54.96294022,111.3132858,18.07505989,275.4899902,71.81403351,159.8600006
2018-10-02,1207.640015,60.20399857,159.3300018,1971.310059,55.45148087,110.8703918,17.8051548,272,71.09928131,157.2599945
2018-10-03,1211.530029,58.95999908,162.4299927,1952.76001,56.12624359,110.8896332,17.93167496,270.5100098,71.16132355,159.1000061
2018-10-04,1177.069946,56.36600113,158.8500061,1909.420044,55.13949585,108.5981064,17.88106728,263.7099915,69.31484985,154.8999939
2018-10-05,1167.829956,52.38999939,157.3300018,1889.650024,54.24464417,107.962616,17.77985382,263.2200012,66.97447205,155.0700073
2018-10-08,1155.920044,50.11199951,157.25,1864.420044,54.11888885,106.7301941,17.17257118,254.6900024,65.95941925,148.6499939
